ID,lng,lat
"592",139.745,36.045
"593",139.745,36.055
"594",139.745,36.065
"595",139.745,36.075
"596",139.755,35.735
"597",139.755,35.745
"598",139.755,35.755
"599",139.755,35.765
"600",139.755,35.775
"601",139.755,35.785
"602",139.755,35.795
"603",139.755,35.805
"604",139.755,35.815
"605",139.755,35.825
"606",139.755,35.835
"607",139.755,35.845
"608",139.755,35.855
"609",139.755,35.865
"610",139.755,35.875
"611",139.755,35.885
"612",139.755,35.895
"613",139.755,35.905
"614",139.755,35.915
"615",139.755,35.925
"616",139.755,35.935
"617",139.755,35.945
"618",139.755,35.955
"619",139.755,35.965
"620",139.755,35.975
"621",139.755,35.985
"622",139.755,35.995
"623",139.755,36.005
"624",139.755,36.015
"625",139.755,36.025
"626",139.755,36.035
"627",139.755,36.045
"628",139.755,36.055
"629",139.755,36.065
"630",139.755,36.075
"631",139.765,35.735
"632",139.765,35.745
"633",139.765,35.755
"634",139.765,35.765
"635",139.765,35.775
"636",139.765,35.785
"637",139.765,35.795
"638",139.765,35.805
"639",139.765,35.815
"640",139.765,35.825
"641",139.765,35.835
"642",139.765,35.845
"643",139.765,35.855
"644",139.765,35.865
"645",139.765,35.875
"646",139.765,35.885
"647",139.765,35.895
"648",139.765,35.905
"649",139.765,35.915
"650",139.765,35.925
"651",139.765,35.935
"652",139.765,35.945
"653",139.765,35.955
"654",139.765,35.965
"655",139.765,35.975
"656",139.765,35.985
"657",139.765,35.995
"658",139.765,36.005
"659",139.765,36.015
"660",139.765,36.025
"661",139.765,36.035
"662",139.765,36.045
"663",139.765,36.055
"664",139.765,36.065
"665",139.765,36.075
"666",139.775,35.735
"667",139.775,35.745
"668",139.775,35.755
"669",139.775,35.765
"670",139.775,35.775
"671",139.775,35.785
"672",139.775,35.795
"673",139.775,35.805
"674",139.775,35.815
"675",139.775,35.825
"676",139.775,35.835
"677",139.775,35.845
"678",139.775,35.855
"679",139.775,35.865
"680",139.775,35.875
"681",139.775,35.885
"682",139.775,35.895
"683",139.775,35.905
"684",139.775,35.915
"685",139.775,35.925
"686",139.775,35.935
"687",139.775,35.945
"688",139.775,35.955
"689",139.775,35.965
"690",139.775,35.975
"691",139.775,35.985
"692",139.775,35.995
"693",139.775,36.005
"694",139.775,36.015
"695",139.775,36.025
"696",139.775,36.035
"697",139.775,36.045
"698",139.775,36.055
"699",139.775,36.065
"700",139.775,36.075
"701",139.785,35.735
"702",139.785,35.745
"703",139.785,35.755
"704",139.785,35.765
"705",139.785,35.775
"706",139.785,35.785
"707",139.785,35.795
"708",139.785,35.805
"709",139.785,35.815
"710",139.785,35.825
"711",139.785,35.835
"712",139.785,35.845
"713",139.785,35.855
"714",139.785,35.865
"715",139.785,35.875
"716",139.785,35.885
"717",139.785,35.895
"718",139.785,35.905
"719",139.785,35.915
"720",139.785,35.925
"721",139.785,35.935
"722",139.785,35.945
"723",139.785,35.955
"724",139.785,35.965
"725",139.785,35.975
"726",139.785,35.985
"727",139.785,35.995
"728",139.785,36.005
"729",139.785,36.015
"730",139.785,36.025
"731",139.785,36.035
"732",139.785,36.045
"733",139.785,36.055
"734",139.785,36.065
"735",139.785,36.075
"736",139.795,35.735
"737",139.795,35.745
"738",139.795,35.755
"739",139.795,35.765
"740",139.795,35.775
"741",139.795,35.785
"742",139.795,35.795
"743",139.795,35.805
"744",139.795,35.815
"745",139.795,35.825
"746",139.795,35.835
"747",139.795,35.845
"748",139.795,35.855
"749",139.795,35.865
"750",139.795,35.875
"751",139.795,35.885
"752",139.795,35.895
"753",139.795,35.905
"754",139.795,35.915
"755",139.795,35.925
"756",139.795,35.935
"757",139.795,35.945
"758",139.795,35.955
"759",139.795,35.965
"760",139.795,35.975
"761",139.795,35.985
"762",139.795,35.995
"763",139.795,36.005
"764",139.795,36.015
"765",139.795,36.025
"766",139.795,36.035
"767",139.795,36.045
"768",139.795,36.055
"769",139.795,36.065
"770",139.795,36.075
"771",139.805,35.735
"772",139.805,35.745
"773",139.805,35.755
"774",139.805,35.765
"775",139.805,35.775
"776",139.805,35.785
"777",139.805,35.795
"778",139.805,35.805
"779",139.805,35.815
"780",139.805,35.825
"781",139.805,35.835
"782",139.805,35.845
"783",139.805,35.855
"784",139.805,35.865
"785",139.805,35.875
"786",139.805,35.885
"787",139.805,35.895
"788",139.805,35.905
"789",139.805,35.915
"790",139.805,35.925
"791",139.805,35.935
"792",139.805,35.945
"793",139.805,35.955
"794",139.805,35.965
"795",139.805,35.975
"796",139.805,35.985
"797",139.805,35.995
"798",139.805,36.005
"799",139.805,36.015
"800",139.805,36.025
"801",139.805,36.035
"802",139.805,36.045
"803",139.805,36.055
"804",139.805,36.065
"805",139.805,36.075
"806",139.815,35.735
"807",139.815,35.745
"808",139.815,35.755
"809",139.815,35.765
"810",139.815,35.775
"811",139.815,35.785
"812",139.815,35.795
"813",139.815,35.805
"814",139.815,35.815
"815",139.815,35.825
"816",139.815,35.835
"817",139.815,35.845
"818",139.815,35.855
"819",139.815,35.865
"820",139.815,35.875
"821",139.815,35.885
"822",139.815,35.895
"823",139.815,35.905
"824",139.815,35.915
"825",139.815,35.925
"826",139.815,35.935
"827",139.815,35.945
"828",139.815,35.955
"829",139.815,35.965
"830",139.815,35.975
"831",139.815,35.985
"832",139.815,35.995
"833",139.815,36.005
"834",139.815,36.015
"835",139.815,36.025
"836",139.815,36.035
"837",139.815,36.045
"838",139.815,36.055
"839",139.815,36.065
"840",139.815,36.075
"841",139.825,35.735
"842",139.825,35.745
"843",139.825,35.755
"844",139.825,35.765
"845",139.825,35.775
"846",139.825,35.785
"847",139.825,35.795
"848",139.825,35.805
"849",139.825,35.815
"850",139.825,35.825
"851",139.825,35.835
"852",139.825,35.845
"853",139.825,35.855
"854",139.825,35.865
"855",139.825,35.875
"856",139.825,35.885
"857",139.825,35.895
"858",139.825,35.905
"859",139.825,35.915
"860",139.825,35.925
"861",139.825,35.935
"862",139.825,35.945
"863",139.825,35.955
"864",139.825,35.965
"865",139.825,35.975
"866",139.825,35.985
"867",139.825,35.995
"868",139.825,36.005
"869",139.825,36.015
"870",139.825,36.025
"871",139.825,36.035
"872",139.825,36.045
"873",139.825,36.055
"874",139.825,36.065
"875",139.825,36.075
"876",139.835,35.735
"877",139.835,35.745
"878",139.835,35.755
"879",139.835,35.765
"880",139.835,35.775
"881",139.835,35.785
"882",139.835,35.795
"883",139.835,35.805
"884",139.835,35.815
"885",139.835,35.825
"886",139.835,35.835
"887",139.835,35.845
"888",139.835,35.855
"889",139.835,35.865
"890",139.835,35.875
"891",139.835,35.885
"892",139.835,35.895
"893",139.835,35.905
"894",139.835,35.915
"895",139.835,35.925
"896",139.835,35.935
"897",139.835,35.945
"898",139.835,35.955
"899",139.835,35.965
"900",139.835,35.975
"901",139.835,35.985
"902",139.835,35.995
"903",139.835,36.005
"904",139.835,36.015
"905",139.835,36.025
"906",139.835,36.035
"907",139.835,36.045
"908",139.835,36.055
"909",139.835,36.065
"910",139.835,36.075
"911",139.845,35.735
"912",139.845,35.745
"913",139.845,35.755
"914",139.845,35.765
"915",139.845,35.775
"916",139.845,35.785
"917",139.845,35.795
"918",139.845,35.805
"919",139.845,35.815
"920",139.845,35.825
"921",139.845,35.835
"922",139.845,35.845
"923",139.845,35.855
"924",139.845,35.865
"925",139.845,35.875
"926",139.845,35.885
"927",139.845,35.895
"928",139.845,35.905
"929",139.845,35.915
"930",139.845,35.925
"931",139.845,35.935
"932",139.845,35.945
"933",139.845,35.955
"934",139.845,35.965
"935",139.845,35.975
"936",139.845,35.985
"937",139.845,35.995
"938",139.845,36.005
"939",139.845,36.015
"940",139.845,36.025
"941",139.845,36.035
"942",139.845,36.045
"943",139.845,36.055
"944",139.845,36.065
"945",139.845,36.075
"946",139.855,35.735
"947",139.855,35.745
"948",139.855,35.755
"949",139.855,35.765
"950",139.855,35.775
"951",139.855,35.785
"952",139.855,35.795
"953",139.855,35.805
"954",139.855,35.815
"955",139.855,35.825
"956",139.855,35.835
"957",139.855,35.845
"958",139.855,35.855
"959",139.855,35.865
"960",139.855,35.875
"961",139.855,35.885
"962",139.855,35.895
"963",139.855,35.905
"964",139.855,35.915
"965",139.855,35.925
"966",139.855,35.935
"967",139.855,35.945
"968",139.855,35.955
"969",139.855,35.965
"970",139.855,35.975
"971",139.855,35.985
"972",139.855,35.995
"973",139.855,36.005
"974",139.855,36.015
"975",139.855,36.025
"976",139.855,36.035
"977",139.855,36.045
"978",139.855,36.055
"979",139.855,36.065
"980",139.855,36.075
"981",139.865,35.735
"982",139.865,35.745
"983",139.865,35.755
"984",139.865,35.765
"985",139.865,35.775
"986",139.865,35.785
"987",139.865,35.795
"988",139.865,35.805
"989",139.865,35.815
"990",139.865,35.825
"991",139.865,35.835
"992",139.865,35.845
"993",139.865,35.855
"994",139.865,35.865
"995",139.865,35.875
